metric,friedman_ok,chi2,p,kendalls_w
paper_total_score,True,7.870967741935458,0.01953624401878539,0.17110799438990126
free_text_score,True,3.4915254237288367,0.1745118359468137,0.0759027266028008
mc_first_attempt_accuracy,True,8.03571428571425,0.017991476826658807,0.17468944099378803
paper_duration_seconds,True,0.6086956521738784,0.7376042638218393,0.01323251417769301
